"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez_id","entrez","go","path"
"ENSG00000127533",28.506999413966,4.18380253094584,0.667813803448125,6.26492370978796,3.73007979978681e-10,1.46026377616535e-09,"F2RL3","9002","F2R like thrombin or trypsin receptor 3","GO:0002020","04080"
"ENSG00000158864",1558.09705813992,-0.555456067540019,0.0886693473926642,-6.26435272022734,3.74377204681458e-10,1.46534361304233e-09,"NDUFS2","4720","NADH:ubiquinone oxidoreductase core subunit S2","GO:0003954","00190"
"ENSG00000144043",718.899537114059,0.689055579625575,0.109999103204034,6.26419270298477,3.74761803129511e-10,1.46656833422884e-09,"TEX261","113419","testis expressed 261","GO:0000139",NA
"ENSG00000172247",100.182725094135,1.68148338661404,0.268467734731641,6.26326060483524,3.77009762620295e-10,1.47508314736001e-09,"C1QTNF4","114900","C1q and TNF related 4","GO:0002023",NA
"ENSG00000177468",39.7600718571805,-3.73314433240229,0.596133440517046,-6.26226290738598,3.79430515155944e-10,1.48427064209502e-09,"OLIG3","167826","oligodendrocyte transcription factor 3","GO:0000122",NA
"ENSG00000221955",75.0554411838388,-2.02882492311137,0.324105254738327,-6.25977176688906,3.8554130447994e-10,1.50788668893636e-09,"SLC12A8","84561","solute carrier family 12 member 8","GO:0005515",NA
"ENSG00000307201",42.1217334513282,2.652054561943,0.423852549307019,6.25702161348091,3.92399049280428e-10,1.53441455802545e-09,NA,NA,NA,NA,NA
"ENSG00000185567",267.041086276079,1.04933235766487,0.167732455385634,6.25598877243133,3.95005164968446e-10,1.54431013941696e-09,"AHNAK2","113146","AHNAK nucleoprotein 2","GO:0005515",NA
"ENSG00000102001",187.860198387052,1.68086397341552,0.268688437681614,6.25581058834872,3.95456473547858e-10,1.54577912601212e-09,"CACNA1F","778","calcium voltage-gated channel subunit alpha1 F","GO:0001750","04010"
"ENSG00000260711",30.8781401415555,-3.60048858743061,0.575700047695681,-6.25410507058677,3.99801792306028e-10,1.56246573588456e-09,NA,NA,NA,NA,NA
"ENSG00000273329",182.679409333776,1.11500540458174,0.17830129289872,6.25349029417918,4.0137952011468e-10,1.56833201221505e-09,NA,NA,NA,NA,NA
"ENSG00000128590",571.135240179641,-0.718094289064223,0.114834651673383,-6.25328921714895,4.01896870772726e-10,1.57005356983501e-09,"DNAJB9","4189","DnaJ heat shock protein family (Hsp40) member B9","GO:0002639",NA
"ENSG00000086619",180.581767800365,1.25351651031479,0.200475086250923,6.25272962220269,4.03340080359362e-10,1.57539074732686e-09,"ERO1B","56605","endoplasmic reticulum oxidoreductase 1 beta","GO:0005515","04141"
"ENSG00000247982",114.775586387612,1.5045597853378,0.240639899103501,6.25232885711393,4.04376771407084e-10,1.57913838471399e-09,"LINC00926","283663","long intergenic non-protein coding RNA 926",NA,NA
"ENSG00000112425",238.374050020287,1.03983832239185,0.166408831802511,6.24869672557948,4.13891681085276e-10,1.61598670292027e-09,"EPM2A","7957","EPM2A glucan phosphatase, laforin","GO:0000045",NA
"ENSG00000196150",401.894834832892,0.878267342563695,0.140556051500376,6.24852031049937,4.1435934969952e-10,1.61750391185185e-09,"ZNF250","58500","zinc finger protein 250","GO:0000978",NA
"ENSG00000099840",86.3819285848547,1.73984037203774,0.278477578154168,6.24768566133731,4.16578970386341e-10,1.62585820249048e-09,"IZUMO4","113177","IZUMO family member 4","GO:0005576",NA
"ENSG00000284395",26.6629431102931,4.0786950676939,0.652856151668702,6.24746363692636,4.17171361688109e-10,1.62785963436289e-09,"PERCC1","105371045","proline and glutamate rich with coiled coil 1","GO:0035883",NA
"ENSG00000173889",727.617621301539,0.665239334876296,0.106504809240595,6.24609667506675,4.20836759754978e-10,1.6418493077986e-09,"PHC3","80012","polyhomeotic homolog 3","GO:0003677",NA
"ENSG00000177485",969.704829271552,0.69290988699838,0.110950495125459,6.245216717734,4.23212906278479e-10,1.65048999007174e-09,"ZBTB33","10009","zinc finger and BTB domain containing 33","GO:0000122",NA
"ENSG00000099999",348.299106096823,0.889693645347896,0.142459523871333,6.24523809409509,4.23155028848466e-10,1.65048999007174e-09,"RNF215","200312","ring finger protein 215","GO:0005737",NA
"ENSG00000285813",55.0750606333758,2.15691076118848,0.345516230267854,6.24257436334144,4.30427025506651e-10,1.67830438557731e-09,NA,NA,NA,NA,NA
"ENSG00000084674",701.207412089346,-6.40826121472143,1.02686319559499,-6.24061826561848,4.35844716942495e-10,1.69910495236492e-09,"APOB","338","apolipoprotein B","GO:0001701","04975"
"ENSG00000113249",83.3219389480454,-6.25231169669019,1.00190822394942,-6.24040360906933,4.36443276171587e-10,1.70111417951406e-09,"HAVCR1","26762","hepatitis A virus cellular receptor 1","GO:0001618",NA
"ENSG00000278535",380.602080824465,-0.829844885805344,0.132981491090781,-6.24030366179939,4.36722247915048e-10,1.70187723015856e-09,"DHRS11","79154","dehydrogenase/reductase 11","GO:0000166",NA
"ENSG00000254560",161.691863906235,1.4702620247895,0.235627550923194,6.23977127899083,4.38211164353545e-10,1.70735416511462e-09,"BBOX1-AS1","103695435","BBOX1 antisense RNA 1",NA,NA
"ENSG00000075292",4182.1483774754,0.493535187589143,0.0791009229219535,6.23931010357615,4.39504938966121e-10,1.71206884908627e-09,"ZNF638","27332","zinc finger protein 638","GO:0003676",NA
"ENSG00000085788",1427.80639857464,0.629137085041667,0.100837896011219,6.23909373289255,4.40113226285209e-10,1.71411196566336e-09,"DDHD2","23259","DDHD domain containing 2","GO:0000266",NA
"ENSG00000112280",1115.76597101303,2.68581833571615,0.430555465874838,6.23803098227748,4.43112909209168e-10,1.72546631598582e-09,"COL9A1","1297","collagen type IX alpha 1 chain","GO:0005515","04974"
"ENSG00000174032",234.338961135155,-1.02914605434817,0.164989118791954,-6.2376601674313,4.44164247153576e-10,1.72923100029052e-09,"SLC25A30","253512","solute carrier family 25 member 30","GO:0005452",NA
"ENSG00000169992",3419.06936390044,0.582504868336639,0.0933965897665689,6.2368965482843,4.46336942812464e-10,1.73735911802644e-09,"NLGN2","57555","neuroligin 2","GO:0001966","04514"
"ENSG00000299654",87.8934999872273,1.58520225519358,0.254231644203253,6.23526729003978,4.51007342574661e-10,1.75520456475736e-09,NA,NA,NA,NA,NA
"ENSG00000151006",100.16777102404,1.63285078331689,0.261951080452916,6.23341877610763,4.56364027956965e-10,1.77571356132009e-09,"PRSS53","339105","serine protease 53","GO:0004252",NA
"ENSG00000119979",649.004407833994,-0.844549186575927,0.135514679557967,-6.23216015660255,4.60046779614964e-10,1.78970271529557e-09,"DENND10","404636","DENN domain containing 10","GO:0005085",NA
"ENSG00000249406",22.9037868469358,-5.28080943469231,0.847726819718448,-6.22937638854721,4.68295478599421e-10,1.82144590506772e-09,NA,NA,NA,NA,NA
"ENSG00000136731",2223.09477088302,-0.574689923587368,0.092256208992132,-6.22928179973642,4.68578279524927e-10,1.8221993740841e-09,"UGGT1","56886","UDP-glucose glycoprotein glucosyltransferase 1","GO:0003980","04141"
"ENSG00000143318",38.9738898085028,-2.65873369000389,0.426849954744937,-6.22873133860963,4.70227354653253e-10,1.82826469101545e-09,"CASQ1","844","calsequestrin 1","GO:0005509",NA
